playerID,playerName,team,position,pts_std,pts_ppr,pts_half_ppr,pass_att,pass_cmp,pass_yd,pass_td,pass_int,rush_att,rush_yd,rush_td,rec_tgt,rec,rec_yd,rec_td,off_snp,opponent
9487,Parker Washington,JAX,WR,7.6,12.6,10.1,,,,,,,,,5.0,5.0,76.0,,17.0,CIN
6786,CeeDee Lamb,DAL,WR,11.2,20.2,15.7,,,,,,,,,11.0,9.0,112.0,,82.0,NYG
11584,Bucky Irving,TB,RB,12.1,18.1,15.1,,,,,,17.0,71.0,,6.0,6.0,50.0,,57.0,HOU
6783,Jerry Jeudy,CLE,WR,5.1,9.1,7.1,,,,,,,,,8.0,4.0,51.0,,64.0,BAL
9504,Kayshon Boutte,NE,WR,7.6,8.6,8.1,,,,,,,,,1.0,1.0,16.0,1.0,43.0,MIA
12507,Omarion Hampton,LAC,RB,2.5,3.5,3.0,,,,,,8.0,24.0,,2.0,1.0,1.0,,36.0,LV
11629,Devontez Walker,BAL,WR,14.6,16.6,15.6,,,,,,,,,2.0,2.0,26.0,2.0,13.0,CLE
7553,Kyle Pitts,ATL,TE,3.7,7.7,5.7,,,,,,,,,5.0,4.0,37.0,,53.0,MIN
19,Joe Flacco,CIN,QB,9.8,9.8,9.8,45.0,25.0,199.0,1.0,1.0,1.0,8.0,,,,,,66.0,JAX
4054,Mo Alie-Cox,IND,TE,0.8,1.8,1.3,,,,,,,,,1.0,1.0,8.0,,25.0,DEN
8698,Jake Tonges,SF,TE,3.1,7.1,5.1,,,,,,,,,5.0,4.0,31.0,,56.0,NO
11157,Brycen Tremayne,CAR,WR,4.8,7.8,6.3,,,,,,,,,5.0,3.0,48.0,,15.0,ARI
3294,Dak Prescott,DAL,QB,23.1,23.1,23.1,52.0,38.0,361.0,2.0,1.0,3.0,17.0,,,,,,89.0,NYG
421,Matthew Stafford,LAR,QB,18.3,18.3,18.3,33.0,23.0,298.0,2.0,1.0,2.0,-6.0,,,,,,61.0,TEN
8134,Khalil Shakir,BUF,WR,1.2,2.2,1.7,,,,,,,,,2.0,1.0,12.0,,37.0,NYJ
7828,Noah Gray,KC,TE,0.1,1.1,0.6,,,,,,,,,5.0,1.0,1.0,,39.0,PHI
5995,Justice Hill,BAL,RB,2.5,5.5,4.0,,,,,,3.0,7.0,,3.0,3.0,18.0,,22.0,CLE
8138,James Cook,BUF,RB,25.5,26.5,26.0,,,,,,21.0,132.0,2.0,1.0,1.0,3.0,,35.0,NYJ
8119,Jahan Dotson,PHI,WR,0.4,1.4,0.9,,,,,,,,,1.0,1.0,4.0,,22.0,KC
7049,Jauan Jennings,SF,WR,14.9,19.9,17.4,,,,,,,,,10.0,5.0,89.0,1.0,62.0,NO
8136,Rachaad White,TB,RB,12.6,14.6,13.6,,,,,,10.0,65.0,1.0,2.0,2.0,1.0,,25.0,HOU
11610,Malik Washington,MIA,WR,8.5,9.5,9.0,,,,,,3.0,23.0,,2.0,1.0,2.0,,35.0,NE
4943,Sam Darnold,SEA,QB,17.8,17.8,17.8,33.0,22.0,295.0,2.0,2.0,,,,,,,,65.0,PIT
11370,Chris Brooks,GB,RB,2.7,5.7,4.2,,,,,,,,,4.0,3.0,27.0,,13.0,WAS
11574,Dylan Laube,LV,RB,1.7,3.7,2.7,,,,,,,,,2.0,2.0,17.0,,12.0,LAC
8111,Cade Otton,TB,TE,2.5,5.5,4.0,,,,,,,,,4.0,3.0,25.0,,73.0,HOU
9488,Jaxon Smith-Njigba,SEA,WR,10.3,18.3,14.3,,,,,,,,,10.0,8.0,103.0,,42.0,PIT
11571,Isaiah Davis,NYJ,RB,0.6,1.6,1.1,,,,,,,,,3.0,1.0,6.0,,10.0,BUF
7526,Jaylen Waddle,MIA,WR,12.8,17.8,15.3,,,,,,,,,6.0,5.0,68.0,1.0,47.0,NE
2197,Brandin Cooks,NO,WR,2.6,4.6,3.6,,,,,,,,,2.0,2.0,26.0,,48.0,SF
5870,Daniel Jones,IND,QB,22.8,22.8,22.8,34.0,23.0,316.0,1.0,,6.0,2.0,1.0,,,,,71.0,DEN
5844,T.J. Hockenson,MIN,TE,1.2,2.2,1.7,,,,,,,,,3.0,1.0,12.0,,34.0,ATL
12529,TreVeyon Henderson,NE,RB,4.0,6.0,5.0,,,,,,3.0,10.0,,2.0,2.0,30.0,,19.0,MIA
12535,Isaac TeSlaa,DET,WR,2.9,3.9,3.4,,,,,,,,,1.0,1.0,29.0,,17.0,CHI
6790,D'Andre Swift,CHI,RB,10.9,13.9,12.4,,,,,,12.0,63.0,1.0,3.0,3.0,6.0,,39.0,DET
1373,Geno Smith,LV,QB,6.2,6.2,6.2,43.0,24.0,180.0,,3.0,5.0,20.0,,,,,,70.0,LAC
6768,Tua Tagovailoa,MIA,QB,19.6,19.6,19.6,32.0,26.0,315.0,2.0,1.0,,,,,,,,57.0,NE
6130,Devin Singletary,NYG,RB,,1.0,0.5,,,,,,1.0,4.0,,1.0,1.0,-4.0,,4.0,DAL
6904,Jalen Hurts,PHI,QB,11.5,11.5,11.5,22.0,15.0,101.0,,,9.0,15.0,1.0,,,,,60.0,KC
11635,Ladd McConkey,LAC,WR,4.8,9.8,7.3,,,,,,,,,5.0,5.0,48.0,,43.0,LV
8154,Brian Robinson,SF,RB,1.9,2.9,2.4,,,,,,6.0,20.0,,1.0,1.0,-1.0,,16.0,NO
6111,Jake Browning,CIN,QB,20.7,20.7,20.7,32.0,21.0,241.0,2.0,3.0,1.0,1.0,1.0,,,,,48.0,JAX
11620,Rome Odunze,CHI,WR,24.8,31.8,28.3,,,,,,,,,11.0,7.0,128.0,2.0,68.0,DET
10232,Michael Wilson,ARI,WR,7.1,8.1,7.6,,,,,,,,,2.0,1.0,11.0,1.0,38.0,CAR
6804,Jordan Love,GB,QB,20.9,20.9,20.9,31.0,19.0,292.0,2.0,,3.0,12.0,,,,,,68.0,WAS
8147,John Metchie,NYJ,WR,,1.0,0.5,,,,,,,,,1.0,1.0,,,7.0,BUF
7496,Nick Westbrook-Ikhine,MIA,WR,1.8,3.8,2.8,,,,,,,,,3.0,2.0,18.0,,16.0,NE
3634,Kalif Raymond,DET,WR,2.3,3.3,2.8,,,,,,1.0,9.0,,1.0,1.0,14.0,,32.0,CHI
4574,Cooper Rush,BAL,QB,-0.4,-0.4,-0.4,,,,,,3.0,-4.0,,,,,,3.0,CLE
5906,Dawson Knox,BUF,TE,1.9,3.9,2.9,,,,,,,,,5.0,2.0,19.0,,41.0,NYJ
8205,Isiah Pacheco,KC,RB,2.9,3.9,3.4,,,,,,10.0,22.0,,2.0,1.0,7.0,,35.0,PHI
8110,Jake Ferguson,DAL,TE,7.8,16.8,12.3,,,,,,,,,12.0,9.0,78.0,,65.0,NYG
7842,Luke Farrell,SF,TE,7.5,9.5,8.5,,,,,,,,,3.0,2.0,15.0,1.0,41.0,NO
1339,Zach Ertz,WAS,TE,12.4,18.4,15.4,,,,,,,,,8.0,6.0,64.0,1.0,62.0,GB
11589,Trey Benson,ARI,RB,4.4,8.4,6.4,,,,,,3.0,14.0,,6.0,4.0,30.0,,24.0,CAR
4046,Patrick Mahomes,KC,QB,23.1,23.1,23.1,29.0,16.0,187.0,1.0,1.0,7.0,66.0,1.0,,,,,60.0,PHI
7564,Ja'Marr Chase,CIN,WR,22.5,36.5,29.5,,,,,,,,,16.0,14.0,165.0,1.0,66.0,JAX
8177,Grant Calcaterra,PHI,TE,0.6,1.6,1.1,,,,,,,,,2.0,1.0,6.0,,53.0,KC
8125,Calvin Austin,PIT,WR,2.2,3.2,2.7,,,,,,,,,4.0,1.0,22.0,,57.0,SEA
7587,Dyami Brown,JAX,WR,12.6,17.6,15.1,,,,,,1.0,9.0,,7.0,5.0,57.0,1.0,57.0,CIN
8117,Jalen Tolbert,DAL,WR,1.6,3.6,2.6,,,,,,,,,4.0,2.0,16.0,,58.0,NYG
6797,Justin Herbert,LAC,QB,18.8,18.8,18.8,27.0,19.0,242.0,2.0,,9.0,31.0,,,,,,58.0,LV
6801,Tee Higgins,CIN,WR,11.6,14.6,13.1,,,,,,,,,8.0,3.0,56.0,1.0,60.0,JAX
10859,Sam LaPorta,DET,TE,2.6,5.6,4.1,,,,,,,,,4.0,3.0,26.0,,50.0,CHI
11633,Jamari Thrash,CLE,WR,0.5,1.5,1.0,,,,,,,,,1.0,1.0,5.0,,20.0,BAL
9501,DeMario Douglas,NE,WR,0.8,1.8,1.3,,,,,,,,,1.0,1.0,8.0,,15.0,MIA
8180,Jalen Nailor,MIN,WR,3.1,6.1,4.6,,,,,,,,,5.0,3.0,31.0,,47.0,ATL
12519,Luther Burden,CHI,WR,0.5,1.5,1.0,,,,,,,,,2.0,1.0,5.0,,12.0,DET
9486,Dontayvion Wicks,GB,WR,4.4,8.4,6.4,,,,,,,,,6.0,4.0,44.0,,37.0,WAS
12455,Brashard Smith,KC,RB,0.2,0.2,0.2,,,,,,1.0,2.0,,1.0,,,,5.0,PHI
4881,Lamar Jackson,BAL,QB,26.3,26.3,26.3,29.0,19.0,225.0,4.0,,2.0,13.0,,,,,,53.0,CLE
2133,Davante Adams,LAR,WR,16.6,22.6,19.6,,,,,,,,,13.0,6.0,106.0,1.0,49.0,TEN
96,Aaron Rodgers,PIT,QB,12.4,12.4,12.4,33.0,18.0,203.0,1.0,2.0,1.0,3.0,,,,,,59.0,SEA
5872,Deebo Samuel,WAS,WR,10.4,17.4,13.9,,,,,,,,,8.0,7.0,44.0,1.0,61.0,GB
9480,Brenton Strange,JAX,TE,1.7,4.7,3.2,,,,,,,,,5.0,3.0,17.0,,64.0,CIN
827,Tyrod Taylor,NYJ,QB,8.3,8.3,8.3,11.0,7.0,56.0,1.0,,3.0,21.0,,,,,,18.0,BUF
4892,Baker Mayfield,TB,QB,19.9,19.9,19.9,38.0,25.0,215.0,2.0,,3.0,33.0,,,,,,80.0,HOU
4137,James Conner,ARI,RB,11.2,12.2,11.7,,,,,,11.0,34.0,1.0,1.0,1.0,18.0,,30.0,CAR
8145,Jeremy Ruckert,NYJ,TE,6.5,7.5,7.0,,,,,,,,,1.0,1.0,5.0,1.0,17.0,BUF
12518,Tyler Warren,IND,TE,7.9,11.9,9.9,,,,,,1.0,,,7.0,4.0,79.0,,66.0,DEN
12509,Tre' Harris,LAC,WR,3.4,5.4,4.4,,,,,,,,,3.0,2.0,34.0,,18.0,LV
5947,Jakobi Meyers,JAX,WR,6.8,12.8,9.8,,,,,,,,,12.0,6.0,68.0,,65.0,CIN
3271,Tyler Higbee,LAR,TE,3.7,7.7,5.7,,,,,,,,,4.0,4.0,37.0,,46.0,TEN
4988,Nick Chubb,HOU,RB,13.2,15.2,14.2,,,,,,12.0,43.0,1.0,2.0,2.0,29.0,,26.0,TB
11638,Ricky Pearsall,SF,WR,5.2,9.2,7.2,,,,,,1.0,-4.0,,6.0,4.0,56.0,,63.0,NO
12514,Emeka Egbuka,TB,WR,8.9,12.9,10.9,,,,,,,,,7.0,4.0,29.0,1.0,74.0,HOU
7569,Nico Collins,HOU,WR,11.2,14.2,12.7,,,,,,,,,9.0,3.0,52.0,1.0,44.0,TB
6659,Craig Reynolds,DET,RB,0.4,0.4,0.4,,,,,,3.0,4.0,,,,,,3.0,CHI
9228,Bryce Young,CAR,QB,22.3,22.3,22.3,55.0,35.0,328.0,3.0,1.0,2.0,2.0,,,,,,85.0,ARI
8408,Jordan Mason,MIN,RB,3.8,5.8,4.8,,,,,,9.0,30.0,,3.0,2.0,8.0,,28.0,ATL
11650,Luke McCaffrey,WAS,WR,3.9,4.9,4.4,,,,,,,,,1.0,1.0,19.0,,16.0,GB
7021,Rico Dowdle,CAR,RB,1.9,2.9,2.4,,,,,,6.0,9.0,,1.0,1.0,10.0,,25.0,ARI
11630,Roman Wilson,PIT,WR,0.7,1.7,1.2,,,,,,,,,2.0,1.0,7.0,,22.0,SEA
8137,George Pickens,DAL,WR,12.8,17.8,15.3,,,,,,,,,9.0,5.0,68.0,1.0,79.0,NYG
7694,Tommy Tremble,CAR,TE,2.0,5.0,3.5,,,,,,,,,3.0,3.0,20.0,,35.0,ARI
9484,Tucker Kraft,GB,TE,18.4,24.4,21.4,,,,,,,,,7.0,6.0,124.0,1.0,62.0,WAS
11597,Theo Johnson,NYG,TE,3.4,7.4,5.4,,,,,,,,,5.0,4.0,34.0,,56.0,DAL
11576,Braelon Allen,NYJ,RB,1.1,1.1,1.1,,,,,,2.0,11.0,,1.0,,,,9.0,BUF
7596,Elijah Moore,BUF,WR,9.7,10.7,10.2,,,,,,2.0,6.0,1.0,1.0,1.0,31.0,,30.0,NYJ
