playerID,playerName,team,position,pts_std,pts_ppr,pts_half_ppr,pass_att,pass_cmp,pass_yd,pass_td,pass_int,rush_att,rush_yd,rush_td,rec_tgt,rec,rec_yd,rec_td,off_snp,opponent
7571,Rashod Bateman,BAL,WR,2.4,3.4,2.9,,,,,,,,,2.0,1.0,24.0,,44.0,KC
4950,Christian Kirk,HOU,WR,2.0,5.0,3.5,,,,,,,,,4.0,3.0,20.0,,43.0,TEN
4454,Kendrick Bourne,SF,WR,1.7,2.7,2.2,,,,,,,,,4.0,1.0,17.0,,44.0,JAX
12498,Mason Taylor,NYJ,TE,6.5,11.5,9.0,,,,,,,,,7.0,5.0,65.0,,51.0,MIA
12481,Cam Skattebo,NYG,RB,11.0,13.0,12.0,,,,,,25.0,79.0,,2.0,2.0,11.0,,57.0,LAC
10218,Xavier Hutchinson,HOU,WR,1.7,3.7,2.7,,,,,,,,,3.0,2.0,17.0,,48.0,TEN
11623,Jordan Whittington,LAR,WR,0.7,1.7,1.2,,,,,,,,,1.0,1.0,7.0,,60.0,IND
11603,AJ Barner,SEA,TE,9.2,12.2,10.7,,,,,,,,,3.0,3.0,32.0,1.0,57.0,ARI
9757,Kendre Miller,NO,RB,12.5,12.5,12.5,,,,,,11.0,65.0,1.0,,,,,21.0,BUF
7670,Joshua Palmer,BUF,WR,2.5,4.5,3.5,,,,,,,,,3.0,2.0,25.0,,15.0,NO
7611,Rhamondre Stevenson,NE,RB,4.1,5.1,4.6,,,,,,9.0,38.0,,1.0,1.0,3.0,,28.0,CAR
12547,Kyle Williams,NE,WR,-0.2,-0.2,-0.2,,,,,,1.0,-2.0,,,,,,14.0,CAR
8150,Kyren Williams,LAR,RB,7.4,10.4,8.9,,,,,,13.0,77.0,,4.0,3.0,17.0,,51.0,IND
8121,Romeo Doubs,GB,WR,23.8,29.8,26.8,,,,,,,,,8.0,6.0,58.0,3.0,75.0,DAL
3161,Carson Wentz,MIN,QB,23.2,23.2,23.2,46.0,30.0,350.0,2.0,2.0,2.0,12.0,,,,,,76.0,PIT
11199,Emari Demercado,ARI,RB,8.1,10.1,9.1,,,,,,2.0,8.0,,2.0,2.0,13.0,1.0,26.0,SEA
11562,Spencer Rattler,NO,QB,13.9,13.9,13.9,27.0,18.0,126.0,1.0,,6.0,49.0,,1.0,,,,67.0,BUF
6011,Gardner Minshew,KC,QB,-0.3,-0.3,-0.3,,,,,,2.0,-3.0,,,,,,6.0,BAL
11637,Keon Coleman,BUF,WR,4.5,7.5,6.0,,,,,,,,,4.0,3.0,45.0,,43.0,NO
9224,Chase Brown,CIN,RB,7.1,10.1,8.6,,,,,,10.0,40.0,,3.0,3.0,31.0,,35.0,DEN
12521,Elijah Arroyo,SEA,TE,4.4,6.4,5.4,,,,,,,,,4.0,2.0,44.0,,36.0,ARI
5012,Mark Andrews,BAL,TE,3.0,10.0,6.5,,,,,,,,,8.0,7.0,30.0,,30.0,KC
12484,Jayden Higgins,HOU,WR,8.4,9.4,8.9,,,,,,,,,1.0,1.0,24.0,1.0,31.0,TEN
7595,Tylan Wallace,BAL,WR,1.4,2.4,1.9,,,,,,,,,2.0,1.0,14.0,,22.0,KC
3202,Austin Hooper,NE,TE,2.4,3.4,2.9,,,,,,,,,1.0,1.0,24.0,,32.0,CAR
6794,Justin Jefferson,MIN,WR,12.6,22.6,17.6,,,,,,,,,11.0,10.0,126.0,,76.0,PIT
9754,Quentin Johnston,LAC,WR,15.8,23.8,19.8,,,,,,,,,13.0,8.0,98.0,1.0,58.0,NYG
12503,Isaiah Bond,CLE,WR,5.8,8.8,7.3,,,,,,,,,6.0,3.0,58.0,,37.0,DET
11625,Adonai Mitchell,NYJ,WR,7.6,10.6,9.1,,,,,,,,,4.0,3.0,96.0,,54.0,MIA
8144,Chris Olave,NO,WR,7.0,10.0,8.5,1.0,,,,1.0,,,,6.0,3.0,20.0,1.0,57.0,BUF
4984,Josh Allen,BUF,QB,25.9,25.9,25.9,22.0,16.0,209.0,2.0,1.0,7.0,45.0,1.0,,,,,59.0,NO
9500,Josh Downs,IND,WR,2.4,6.4,4.4,,,,,,,,,5.0,4.0,24.0,,38.0,LAR
12544,LeQuint Allen,JAX,RB,0.7,1.7,1.2,,,,,,,,,1.0,1.0,7.0,,12.0,SF
9997,Zay Flowers,BAL,WR,7.4,14.4,10.9,,,,,,,,,8.0,7.0,74.0,,48.0,KC
12506,Harold Fannin,CLE,TE,2.5,4.5,3.5,,,,,,1.0,1.0,,6.0,2.0,24.0,,57.0,DET
4144,Jonnu Smith,PIT,TE,0.6,2.6,1.6,,,,,,,,,3.0,2.0,6.0,,13.0,MIN
8126,Wan'Dale Robinson,NYG,WR,1.4,4.4,2.9,,,,,,,,,5.0,3.0,14.0,,74.0,LAC
6853,Van Jefferson,TEN,WR,0.6,1.6,1.1,,,,,,,,,1.0,1.0,6.0,,19.0,HOU
5045,Courtland Sutton,DEN,WR,14.1,19.1,16.6,,,,,,,,,6.0,5.0,81.0,1.0,69.0,CIN
7594,Chuba Hubbard,CAR,RB,6.9,9.9,8.4,,,,,,10.0,49.0,,3.0,3.0,20.0,,35.0,NE
5096,Ray-Ray McCloud,NYG,WR,-0.7,0.3,-0.2,,,,,,,,,2.0,1.0,-7.0,,23.0,LAC
4098,Kareem Hunt,KC,RB,4.7,5.7,5.2,,,,,,13.0,34.0,,1.0,1.0,13.0,,32.0,BAL
3200,Sterling Shepard,TB,WR,2.0,4.0,3.0,,,,,,1.0,6.0,,4.0,2.0,14.0,,45.0,PHI
11560,Caleb Williams,CHI,QB,12.8,12.8,12.8,37.0,22.0,212.0,1.0,1.0,8.0,13.0,,,,,,68.0,LV
4035,Alvin Kamara,NO,RB,7.2,11.2,9.2,,,,,,15.0,70.0,,5.0,4.0,2.0,,49.0,BUF
11783,Ryan Flournoy,DAL,WR,2.6,4.6,3.6,,,,,,1.0,12.0,,2.0,2.0,14.0,,16.0,GB
10871,Luke Schoonmaker,DAL,TE,0.8,2.8,1.8,,,,,,,,,2.0,2.0,8.0,,19.0,GB
11435,Emanuel Wilson,GB,RB,8.1,11.1,9.6,,,,,,8.0,44.0,,3.0,3.0,37.0,,25.0,DAL
9758,C.J. Stroud,HOU,QB,18.4,18.4,18.4,28.0,22.0,233.0,2.0,,4.0,11.0,,,,,,71.0,TEN
5970,Greg Dortch,ARI,WR,3.9,7.9,5.9,,,,,,1.0,4.0,,5.0,4.0,35.0,,43.0,SEA
11433,Nate Adkins,DEN,TE,0.5,2.5,1.5,,,,,,,,,3.0,2.0,5.0,,34.0,CIN
2307,Marcus Mariota,WAS,QB,17.2,17.2,17.2,27.0,16.0,156.0,2.0,1.0,2.0,20.0,,,,,,57.0,ATL
1466,Travis Kelce,KC,TE,4.8,9.8,7.3,,,,,,,,,5.0,5.0,48.0,,48.0,BAL
6149,Darius Slayton,NYG,WR,4.4,7.4,5.9,,,,,,,,,4.0,3.0,44.0,,66.0,LAC
2505,Darren Waller,MIA,TE,14.7,17.7,16.2,,,,,,,,,4.0,3.0,27.0,2.0,16.0,NYJ
8210,Chig Okonkwo,TEN,TE,0.4,1.4,0.9,,,,,,,,,3.0,1.0,4.0,,35.0,HOU
6151,Miles Sanders,DAL,RB,2.5,4.5,3.5,,,,,,2.0,8.0,,2.0,2.0,17.0,,7.0,GB
5850,Josh Jacobs,GB,RB,27.7,31.7,29.7,,,,,,22.0,86.0,2.0,4.0,4.0,71.0,,54.0,DAL
9753,Zach Charbonnet,SEA,RB,10.4,12.4,11.4,,,,,,12.0,39.0,1.0,2.0,2.0,5.0,,31.0,ARI
11604,Brock Bowers,LV,TE,4.6,9.6,7.1,,,,,,,,,6.0,5.0,46.0,,40.0,CHI
5001,Dalton Schultz,HOU,TE,3.0,8.0,5.5,,,,,,,,,6.0,5.0,30.0,,60.0,TEN
12658,Jackson Hawes,BUF,TE,1.5,2.5,2.0,,,,,,,,,1.0,1.0,15.0,,31.0,NO
9756,Jordan Addison,MIN,WR,11.4,15.4,13.4,,,,,,,,,8.0,4.0,114.0,,73.0,PIT
4033,David Njoku,CLE,TE,1.1,3.1,2.1,,,,,,,,,3.0,2.0,11.0,,56.0,DET
5849,Kyler Murray,ARI,QB,18.1,18.1,18.1,41.0,27.0,200.0,2.0,2.0,5.0,41.0,,,,,,67.0,SEA
11068,Mitch Tinsley,CIN,WR,0.9,1.9,1.4,,,,,,,,,2.0,1.0,9.0,,7.0,DEN
6819,Michael Pittman,IND,WR,10.1,15.1,12.6,,,,,,,,,10.0,5.0,41.0,1.0,57.0,LAR
11575,Ray Davis,BUF,RB,0.3,0.3,0.3,,,,,,1.0,3.0,,,,,,5.0,NO
7002,Juwan Johnson,NO,TE,2.8,5.8,4.3,,,,,,,,,3.0,3.0,28.0,,60.0,BUF
12485,Tez Johnson,TB,WR,1.3,2.3,1.8,,,,,,1.0,5.0,,1.0,1.0,8.0,,23.0,PHI
5846,DK Metcalf,PIT,WR,18.6,23.6,21.1,,,,,,,,,5.0,5.0,126.0,1.0,42.0,MIN
8155,Breece Hall,NYJ,RB,11.1,16.1,13.6,,,,,,14.0,81.0,,6.0,5.0,30.0,,40.0,MIA
6427,Ashton Dulin,IND,WR,1.8,2.8,2.3,,,,,,1.0,7.0,,1.0,1.0,11.0,,12.0,LAR
6806,J.K. Dobbins,DEN,RB,10.5,11.5,11.0,,,,,,16.0,101.0,,1.0,1.0,4.0,,36.0,CIN
6813,Jonathan Taylor,IND,RB,9.6,14.6,12.1,,,,,,17.0,76.0,,5.0,5.0,20.0,,53.0,LAR
11564,Drake Maye,NE,QB,23.2,23.2,23.2,17.0,14.0,203.0,2.0,,3.0,11.0,1.0,,,,,43.0,CAR
6828,A.J. Dillon,PHI,RB,1.7,1.7,1.7,,,,,,3.0,17.0,,,,,,8.0,TB
7588,Javonte Williams,DAL,RB,16.0,19.0,17.5,,,,,,20.0,85.0,1.0,3.0,3.0,15.0,,55.0,GB
8188,Tyquan Thornton,KC,WR,7.1,8.1,7.6,,,,,,,,,2.0,1.0,11.0,1.0,25.0,BAL
6865,Colby Parkinson,LAR,TE,1.7,3.7,2.7,,,,,,,,,2.0,2.0,17.0,,21.0,IND
12501,Matthew Golden,GB,WR,6.3,11.3,8.8,,,,,,1.0,5.0,,6.0,5.0,58.0,,49.0,DAL
