playerID,playerName,team,position,opponent,week_num,rec_tgt_roll,rush_att_roll,off_snp_roll,ease_roll
10871,Luke Schoonmaker,DAL,TE,NYJ,5,1.7,,26.3,1.2
10871,Luke Schoonmaker,DAL,TE,CAR,6,2.0,,24.0,1.2
10871,Luke Schoonmaker,DAL,TE,DEN,8,2.3,,27.3,1.2
10871,Luke Schoonmaker,DAL,TE,ARI,9,2.3,,20.7,1.2
11056,Jared Wayne,HOU,WR,SF,8,2.0,,,1.0
11065,Adrian Martinez,SF,QB,NYG,9,,1.0,1.0,1.1
11068,Mitch Tinsley,CIN,WR,JAX,2,1.0,,10.0,0.9
11068,Mitch Tinsley,CIN,WR,DEN,4,1.5,,8.5,0.8
11068,Mitch Tinsley,CIN,WR,CHI,9,1.7,,11.3,1.0
11157,Brycen Tremayne,CAR,WR,ARI,2,5.0,,15.0,1.1
11157,Brycen Tremayne,CAR,WR,ATL,3,3.5,,15.5,1.0
11157,Brycen Tremayne,CAR,WR,NE,4,3.7,,29.0,1.0
11157,Brycen Tremayne,CAR,WR,MIA,5,2.3,,29.7,1.0
11157,Brycen Tremayne,CAR,WR,GB,9,2.0,,29.3,1.1
11168,Xavier Smith,LAR,WR,HOU,1,1.0,,2.0,0.8
11168,Xavier Smith,LAR,WR,JAX,7,2.0,,17.5,0.8
11168,Xavier Smith,LAR,WR,NO,9,2.3,,16.0,0.9
11199,Emari Demercado,ARI,RB,SEA,4,2.0,2.0,26.0,0.9
11199,Emari Demercado,ARI,RB,TEN,5,2.0,2.5,22.5,1.1
11199,Emari Demercado,ARI,RB,IND,6,1.5,2.0,16.0,1.1
11199,Emari Demercado,ARI,RB,DAL,9,1.0,6.0,16.3,1.2
11201,Blake Whiteheart,CLE,TE,PIT,6,1.0,,22.0,1.3
11201,Blake Whiteheart,CLE,TE,MIA,7,1.0,,28.5,1.3
11210,Malik Heath,GB,WR,WAS,2,1.0,,22.0,1.0
11210,Malik Heath,GB,WR,DAL,4,1.0,,20.5,1.2
11210,Malik Heath,GB,WR,PIT,8,1.7,,20.7,1.3
11210,Malik Heath,GB,WR,CAR,9,1.7,,22.3,1.2
11237,Jacob Saylors,DET,RB,CLE,4,,2.0,4.0,0.7
11256,Tyson Bagent,CHI,QB,DET,2,,2.0,11.0,1.1
11256,Tyson Bagent,CHI,QB,CIN,9,,2.0,6.0,1.2
11299,Zavier Scott,MIN,RB,CIN,3,1.0,8.0,17.0,1.6
11299,Zavier Scott,MIN,RB,PIT,4,4.5,5.0,23.0,1.3
11299,Zavier Scott,MIN,RB,CLE,5,4.5,5.0,20.0,1.1
11299,Zavier Scott,MIN,RB,PHI,7,4.5,3.7,17.3,0.9
11299,Zavier Scott,MIN,RB,LAC,8,1.5,3.7,9.7,0.9
11306,Xavier Gipson,PHI,WR,DAL,1,,,,1.5
11306,Xavier Gipson,PHI,WR,NYG,8,1.0,,5.0,1.3
11320,Nikko Remigio,KC,WR,PHI,2,1.0,,2.0,0.9
11320,Nikko Remigio,KC,WR,NYG,3,1.0,1.0,3.5,1.0
11370,Chris Brooks,GB,RB,DET,1,1.0,1.0,9.0,0.8
11370,Chris Brooks,GB,RB,WAS,2,2.5,1.0,11.0,0.9
11370,Chris Brooks,GB,RB,DAL,4,2.0,1.0,9.0,1.0
11370,Chris Brooks,GB,RB,CIN,6,2.5,1.0,7.7,1.3
11370,Chris Brooks,GB,RB,CAR,9,1.5,1.0,7.0,1.3
11371,Julian Hill,MIA,TE,IND,1,,,28.0,1.3
11371,Julian Hill,MIA,TE,BUF,3,1.0,,31.0,0.9
11371,Julian Hill,MIA,TE,NYJ,4,1.5,,34.0,1.0
11371,Julian Hill,MIA,TE,CAR,5,2.7,,34.3,1.0
11371,Julian Hill,MIA,TE,LAC,6,3.3,,35.7,1.1
11371,Julian Hill,MIA,TE,CLE,7,3.3,,34.0,1.0
11377,Tyrell Shavers,BUF,WR,MIA,3,2.0,,12.0,0.9
11377,Tyrell Shavers,BUF,WR,ATL,6,3.5,,20.0,0.9
11377,Tyrell Shavers,BUF,WR,KC,9,2.7,,23.7,0.9
11421,Ryan Miller,TB,WR,HOU,2,1.0,,18.0,0.8
11421,Ryan Miller,TB,WR,DET,7,1.0,,13.5,0.9
11433,Nate Adkins,DEN,TE,CIN,4,3.0,,34.0,1.7
11433,Nate Adkins,DEN,TE,NYJ,6,2.5,,28.5,1.4
11433,Nate Adkins,DEN,TE,NYG,7,2.7,,27.7,1.3
11435,Emanuel Wilson,GB,RB,DET,1,,1.0,2.0,0.8
11435,Emanuel Wilson,GB,RB,CLE,3,,3.5,8.5,0.7
11435,Emanuel Wilson,GB,RB,DAL,4,3.0,5.0,14.0,0.9
11435,Emanuel Wilson,GB,RB,CIN,6,2.0,5.7,17.0,1.2
11435,Emanuel Wilson,GB,RB,ARI,7,1.7,5.7,18.3,1.3
11435,Emanuel Wilson,GB,RB,PIT,8,2.0,6.7,19.0,1.2
11435,Emanuel Wilson,GB,RB,CAR,9,2.3,7.7,22.3,0.9
11557,Joe Milton,DAL,QB,CHI,3,,,10.0,1.3
11557,Joe Milton,DAL,QB,DEN,8,,,9.5,1.0
11559,Michael Penix,ATL,QB,TB,1,,6.0,76.0,1.0
11559,Michael Penix,ATL,QB,MIN,2,,3.5,71.0,1.0
11559,Michael Penix,ATL,QB,CAR,3,,3.0,64.3,1.0
11559,Michael Penix,ATL,QB,WAS,4,,2.3,60.7,1.0
11559,Michael Penix,ATL,QB,BUF,6,,2.7,62.0,1.0
11559,Michael Penix,ATL,QB,SF,7,,2.7,66.7,1.1
11559,Michael Penix,ATL,QB,NE,9,,2.0,63.7,1.1
11560,Caleb Williams,CHI,QB,MIN,1,,6.0,67.0,1.0
11560,Caleb Williams,CHI,QB,DET,2,,5.5,62.0,1.1
11560,Caleb Williams,CHI,QB,DAL,3,,5.3,61.0,1.2
11560,Caleb Williams,CHI,QB,LV,4,,6.0,61.3,1.2
11560,Caleb Williams,CHI,QB,WAS,6,,5.7,63.7,1.2
