playerID,playerName,team,position,pts_std,pts_ppr,pts_half_ppr,pass_att,pass_cmp,pass_yd,pass_td,pass_int,rush_att,rush_yd,rush_td,rec_tgt,rec,rec_yd,rec_td,off_snp,opponent
9487,Parker Washington,JAX,WR,3.4,7.4,5.4,,,,,,,,,11.0,4.0,34.0,,50.0,HOU
11584,Bucky Irving,TB,RB,9.9,13.9,11.9,,,,,,25.0,66.0,,4.0,4.0,33.0,,53.0,NYJ
6783,Jerry Jeudy,CLE,WR,1.7,2.7,2.2,,,,,,,,,5.0,1.0,17.0,,55.0,GB
9504,Kayshon Boutte,NE,WR,2.8,4.8,3.8,,,,,,,,,3.0,2.0,28.0,,56.0,PIT
12507,Omarion Hampton,LAC,RB,18.9,24.9,21.9,,,,,,19.0,70.0,1.0,7.0,6.0,59.0,,68.0,DEN
11629,Devontez Walker,BAL,WR,3.4,4.4,3.9,,,,,,,,,1.0,1.0,34.0,,7.0,DET
12493,Oronde Gadsden,LAC,TE,4.6,9.6,7.1,,,,,,,,,7.0,5.0,46.0,,22.0,DEN
7553,Kyle Pitts,ATL,TE,3.9,7.9,5.9,,,,,,,,,6.0,4.0,39.0,,54.0,CAR
19,Joe Flacco,CIN,QB,4.7,4.7,4.7,36.0,21.0,142.0,,1.0,,,,,,,,66.0,MIN
8698,Jake Tonges,SF,TE,2.1,4.1,3.1,,,,,,,,,3.0,2.0,21.0,,45.0,ARI
11157,Brycen Tremayne,CAR,WR,1.5,3.5,2.5,,,,,,,,,2.0,2.0,15.0,,16.0,ATL
5854,Drew Lock,SEA,QB,0.5,0.5,0.5,3.0,2.0,15.0,,,1.0,-1.0,,,,,,18.0,NO
3294,Dak Prescott,DAL,QB,14.0,14.0,14.0,40.0,31.0,251.0,1.0,2.0,,,,,,,,64.0,CHI
421,Matthew Stafford,LAR,QB,14.8,14.8,14.8,33.0,19.0,196.0,2.0,1.0,,,,,,,,66.0,PHI
8134,Khalil Shakir,BUF,WR,10.5,14.5,12.5,,,,,,,,,4.0,4.0,45.0,1.0,42.0,MIA
7828,Noah Gray,KC,TE,1.7,4.7,3.2,,,,,,,,,6.0,3.0,17.0,,49.0,NYG
11557,Joe Milton,DAL,QB,0.6,0.6,0.6,5.0,3.0,41.0,,1.0,,,,,,,,10.0,CHI
5995,Justice Hill,BAL,RB,4.5,7.5,6.0,,,,,,,,,4.0,3.0,45.0,,29.0,DET
12517,Colston Loveland,CHI,TE,3.1,4.1,3.6,,,,,,,,,3.0,1.0,31.0,,6.0,DAL
8138,James Cook,BUF,RB,17.8,20.8,19.3,,,,,,19.0,108.0,1.0,3.0,3.0,10.0,,40.0,MIA
8119,Jahan Dotson,PHI,WR,0.7,1.7,1.2,,,,,,,,,3.0,1.0,7.0,,52.0,LAR
8136,Rachaad White,TB,RB,1.4,2.4,1.9,,,,,,5.0,12.0,,1.0,1.0,2.0,,20.0,NYJ
11610,Malik Washington,MIA,WR,3.2,6.2,4.7,,,,,,2.0,20.0,,5.0,3.0,12.0,,33.0,BUF
4943,Sam Darnold,SEA,QB,16.7,16.7,16.7,18.0,14.0,218.0,2.0,,,,,,,,,39.0,NO
829,Andy Dalton,CAR,QB,-0.1,-0.1,-0.1,,,,,,1.0,-1.0,,,,,,1.0,ATL
11574,Dylan Laube,LV,RB,0.2,0.2,0.2,,,,,,3.0,2.0,,1.0,,,,7.0,WAS
