playerID,playerName,team,position,pts_std,pts_ppr,pts_half_ppr,pass_att,pass_cmp,pass_yd,pass_td,pass_int,rush_att,rush_yd,rush_td,rec_tgt,rec,rec_yd,rec_td,off_snp,opponent
9487,Parker Washington,JAX,WR,2.9,4.9,3.9,,,,,,,,,4.0,2.0,29.0,,25.0,SEA
6783,Jerry Jeudy,CLE,WR,4.3,9.3,6.8,,,,,,,,,13.0,5.0,43.0,,73.0,PIT
9504,Kayshon Boutte,NE,WR,21.3,26.3,23.8,,,,,,,,,5.0,5.0,93.0,2.0,43.0,NO
12493,Oronde Gadsden,LAC,TE,4.8,11.8,8.3,,,,,,,,,8.0,7.0,68.0,,48.0,MIA
7553,Kyle Pitts,ATL,TE,1.8,4.8,3.3,,,,,,,,,4.0,3.0,18.0,,65.0,BUF
19,Joe Flacco,CIN,QB,18.8,18.8,18.8,45.0,29.0,219.0,2.0,,,,,,,,,65.0,GB
4054,Mo Alie-Cox,IND,TE,1.6,2.6,2.1,,,,,,,,,2.0,1.0,16.0,,37.0,ARI
8698,Jake Tonges,SF,TE,5.8,11.8,8.8,,,,,,,,,7.0,6.0,58.0,,57.0,TB
2359,Ameer Abdullah,IND,RB,1.6,2.6,2.1,,,,,,1.0,7.0,,1.0,1.0,9.0,,3.0,ARI
3294,Dak Prescott,DAL,QB,22.3,22.3,22.3,34.0,25.0,261.0,3.0,,2.0,-1.0,,,,,,55.0,CAR
421,Matthew Stafford,LAR,QB,9.3,9.3,9.3,26.0,17.0,181.0,1.0,,4.0,1.0,,,,,,53.0,BAL
8134,Khalil Shakir,BUF,WR,3.3,6.3,4.8,,,,,,,,,5.0,3.0,33.0,,34.0,ATL
7828,Noah Gray,KC,TE,2.5,4.5,3.5,,,,,,,,,2.0,2.0,25.0,,48.0,DET
5995,Justice Hill,BAL,RB,4.4,9.4,6.9,,,,,,6.0,16.0,,6.0,5.0,28.0,,35.0,LAR
12517,Colston Loveland,CHI,TE,1.1,3.1,2.1,,,,,,,,,3.0,2.0,11.0,,27.0,WAS
8138,James Cook,BUF,RB,8.7,8.7,8.7,,,,,,17.0,87.0,,,,,,30.0,ATL
8119,Jahan Dotson,PHI,WR,1.7,2.7,2.2,,,,,,,,,2.0,1.0,17.0,,43.0,NYG
7049,Jauan Jennings,SF,WR,0.7,1.7,1.2,,,,,,,,,3.0,1.0,7.0,,53.0,TB
8136,Rachaad White,TB,RB,14.6,17.6,16.1,,,,,,17.0,65.0,1.0,3.0,3.0,21.0,,41.0,SF
11610,Malik Washington,MIA,WR,2.3,6.3,4.3,,,,,,1.0,1.0,,5.0,4.0,22.0,,26.0,LAC
4943,Sam Darnold,SEA,QB,20.0,20.0,20.0,27.0,16.0,295.0,2.0,,4.0,2.0,,,,,,55.0,JAX
11370,Chris Brooks,GB,RB,0.1,0.1,0.1,,,,,,1.0,1.0,,,,,,5.0,CIN
6323,Andrew Beck,NYJ,RB,0.6,1.6,1.1,,,,,,,,,1.0,1.0,6.0,,3.0,DEN
8111,Cade Otton,TB,TE,5.1,10.1,7.6,,,,,,,,,6.0,5.0,51.0,,53.0,SF
3269,Chris Moore,WAS,WR,10.6,13.6,12.1,,,,,,,,,5.0,3.0,46.0,1.0,44.0,CHI
11647,Kimani Vidal,LAC,RB,19.8,22.8,21.3,,,,,,18.0,124.0,,4.0,3.0,14.0,1.0,43.0,MIA
9488,Jaxon Smith-Njigba,SEA,WR,22.2,30.2,26.2,,,,,,,,,13.0,8.0,162.0,1.0,45.0,JAX
11571,Isaiah Davis,NYJ,RB,0.1,1.1,0.6,,,,,,2.0,2.0,,1.0,1.0,-1.0,,15.0,DEN
7526,Jaylen Waddle,MIA,WR,9.8,15.8,12.8,1.0,1.0,8.0,,,,,,8.0,6.0,95.0,,48.0,LAC
2197,Brandin Cooks,NO,WR,2.1,3.1,2.6,,,,,,,,,1.0,1.0,21.0,,36.0,NE
5870,Daniel Jones,IND,QB,23.5,23.5,23.5,30.0,22.0,212.0,2.0,1.0,5.0,20.0,1.0,,,,,59.0,ARI
12529,TreVeyon Henderson,NE,RB,3.6,4.6,4.1,,,,,,9.0,27.0,,2.0,1.0,9.0,,19.0,NO
6790,D'Andre Swift,CHI,RB,23.5,25.5,24.5,,,,,,14.0,108.0,,3.0,2.0,67.0,1.0,36.0,WAS
1373,Geno Smith,LV,QB,9.7,9.7,9.7,23.0,17.0,174.0,1.0,1.0,4.0,-3.0,,,,,,61.0,TEN
6768,Tua Tagovailoa,MIA,QB,9.6,9.6,9.6,32.0,21.0,205.0,1.0,3.0,1.0,4.0,,,,,,59.0,LAC
6130,Devin Singletary,NYG,RB,1.0,1.0,1.0,,,,,,3.0,10.0,,,,,,4.0,PHI
6904,Jalen Hurts,PHI,QB,21.6,21.6,21.6,33.0,24.0,283.0,1.0,1.0,7.0,13.0,1.0,,,,,57.0,NYG
11635,Ladd McConkey,LAC,WR,16.0,23.0,19.5,,,,,,,,,9.0,7.0,100.0,1.0,45.0,MIA
8154,Brian Robinson,SF,RB,0.8,3.8,2.3,,,,,,,,,3.0,3.0,8.0,,5.0,TB
11620,Rome Odunze,CHI,WR,3.2,5.2,4.2,,,,,,,,,5.0,2.0,32.0,,62.0,WAS
10232,Michael Wilson,ARI,WR,4.4,8.4,6.4,,,,,,,,,5.0,4.0,44.0,,55.0,IND
6804,Jordan Love,GB,QB,16.0,16.0,16.0,26.0,19.0,259.0,1.0,1.0,7.0,26.0,,,,,,61.0,CIN
4574,Cooper Rush,BAL,QB,-0.1,-0.1,-0.1,19.0,11.0,72.0,,1.0,1.0,,,,,,,53.0,LAR
5906,Dawson Knox,BUF,TE,7.9,8.9,8.4,,,,,,,,,2.0,1.0,19.0,1.0,46.0,ATL
8205,Isiah Pacheco,KC,RB,5.1,6.1,5.6,,,,,,12.0,51.0,,3.0,1.0,,,49.0,DET
8110,Jake Ferguson,DAL,TE,9.3,12.3,10.8,,,,,,,,,3.0,3.0,33.0,1.0,37.0,CAR
1339,Zach Ertz,WAS,TE,10.3,16.3,13.3,,,,,,,,,6.0,6.0,43.0,1.0,39.0,CHI
8131,Isaiah Likely,BAL,TE,0.6,2.6,1.6,,,,,,,,,2.0,2.0,6.0,,63.0,LAR
4046,Patrick Mahomes,KC,QB,31.5,31.5,31.5,30.0,22.0,257.0,3.0,,10.0,32.0,1.0,,,,,64.0,DET
3286,Demarcus Robinson,SF,WR,4.4,6.4,5.4,,,,,,,,,3.0,2.0,44.0,,13.0,TB
7564,Ja'Marr Chase,CIN,WR,15.1,25.1,20.1,,,,,,1.0,-3.0,,12.0,10.0,94.0,1.0,65.0,GB
7587,Dyami Brown,JAX,WR,2.0,4.0,3.0,,,,,,1.0,7.0,,5.0,2.0,13.0,,49.0,SEA
8117,Jalen Tolbert,DAL,WR,0.8,1.8,1.3,,,,,,,,,1.0,1.0,8.0,,50.0,CAR
6797,Justin Herbert,LAC,QB,18.8,18.8,18.8,38.0,29.0,264.0,2.0,,1.0,2.0,,,,,,64.0,MIA
6801,Tee Higgins,CIN,WR,6.2,11.2,8.7,,,,,,,,,8.0,5.0,62.0,,52.0,GB
10859,Sam LaPorta,DET,TE,11.5,16.5,14.0,,,,,,,,,6.0,5.0,55.0,1.0,52.0,KC
11633,Jamari Thrash,CLE,WR,1.3,3.3,2.3,,,,,,,,,3.0,2.0,13.0,,37.0,PIT
9501,DeMario Douglas,NE,WR,13.1,16.1,14.6,,,,,,,,,4.0,3.0,71.0,1.0,16.0,NO
12519,Luther Burden,CHI,WR,5.1,9.1,7.1,,,,,,,,,4.0,4.0,51.0,,15.0,WAS
9486,Dontayvion Wicks,GB,WR,1.5,3.5,2.5,,,,,,,,,2.0,2.0,15.0,,21.0,CIN
12455,Brashard Smith,KC,RB,2.1,5.1,3.6,,,,,,,,,4.0,3.0,21.0,,6.0,DET
4219,Jeremy McNichols,WAS,RB,3.5,6.5,5.0,,,,,,2.0,5.0,,4.0,3.0,30.0,,21.0,CHI
2133,Davante Adams,LAR,WR,3.9,7.9,5.9,,,,,,,,,9.0,4.0,39.0,,42.0,BAL
96,Aaron Rodgers,PIT,QB,17.5,17.5,17.5,30.0,21.0,235.0,2.0,,1.0,1.0,,,,,,56.0,CLE
5872,Deebo Samuel,WAS,WR,1.4,5.4,3.4,,,,,,1.0,-1.0,,5.0,4.0,15.0,,47.0,CHI
4892,Baker Mayfield,TB,QB,19.6,19.6,19.6,23.0,17.0,256.0,2.0,,3.0,14.0,,,,,,53.0,SF
12518,Tyler Warren,IND,TE,12.3,18.3,15.3,,,,,,,,,9.0,6.0,63.0,1.0,52.0,ARI
9506,Sean Tucker,TB,RB,8.5,8.5,8.5,,,,,,6.0,25.0,1.0,,,,,12.0,SF
7607,Michael Carter,ARI,RB,6.4,8.4,7.4,,,,,,9.0,34.0,,5.0,2.0,30.0,,32.0,IND
