playerID,playerName,team,position,pts_std,pts_ppr,pts_half_ppr,pass_att,pass_cmp,pass_yd,pass_td,pass_int,rush_att,rush_yd,rush_td,rec_tgt,rec,rec_yd,rec_td,off_snp,opponent
9487,Parker Washington,JAX,WR,7.6,9.6,8.6,,,,,,,,,3.0,2.0,16.0,1.0,15.0,KC
6783,Jerry Jeudy,CLE,WR,1.5,3.5,2.5,,,,,,,,,5.0,2.0,15.0,,63.0,MIN
9504,Kayshon Boutte,NE,WR,4.3,7.3,5.8,,,,,,,,,3.0,3.0,43.0,,37.0,BUF
12507,Omarion Hampton,LAC,RB,7.0,13.0,10.0,,,,,,12.0,44.0,,6.0,6.0,26.0,,39.0,WAS
12493,Oronde Gadsden,LAC,TE,1.4,2.4,1.9,,,,,,,,,1.0,1.0,14.0,,36.0,WAS
8698,Jake Tonges,SF,TE,10.1,17.1,13.6,,,,,,,,,11.0,7.0,41.0,1.0,63.0,LAR
11157,Brycen Tremayne,CAR,WR,0.9,1.9,1.4,,,,,,,,,1.0,1.0,9.0,,17.0,MIA
7585,Davis Mills,HOU,QB,1.2,1.2,1.2,4.0,2.0,23.0,,,3.0,3.0,,,,,,14.0,BAL
2359,Ameer Abdullah,IND,RB,6.6,6.6,6.6,,,,,,2.0,6.0,1.0,,,,,5.0,LV
3294,Dak Prescott,DAL,QB,28.3,28.3,28.3,29.0,18.0,237.0,4.0,,7.0,28.0,,,,,,60.0,NYJ
421,Matthew Stafford,LAR,QB,25.6,25.6,25.6,47.0,30.0,389.0,3.0,,1.0,,,,,,,68.0,SF
8134,Khalil Shakir,BUF,WR,5.0,11.0,8.0,,,,,,1.0,5.0,,9.0,6.0,45.0,,43.0,NE
5995,Justice Hill,BAL,RB,1.2,2.2,1.7,,,,,,1.0,3.0,,2.0,1.0,9.0,,13.0,HOU
8138,James Cook,BUF,RB,4.9,4.9,4.9,,,,,,15.0,49.0,,1.0,,,,49.0,NE
8119,Jahan Dotson,PHI,WR,2.4,3.4,2.9,,,,,,,,,3.0,1.0,24.0,,44.0,DEN
8136,Rachaad White,TB,RB,19.1,23.1,21.1,,,,,,14.0,41.0,2.0,4.0,4.0,30.0,,49.0,SEA
11610,Malik Washington,MIA,WR,,4.0,2.0,,,,,,,,,5.0,4.0,,,32.0,CAR
4943,Sam Darnold,SEA,QB,28.6,28.6,28.6,34.0,28.0,341.0,4.0,1.0,,,,,,,,61.0,TB
6323,Andrew Beck,NYJ,RB,6.1,7.1,6.6,,,,,,,,,2.0,1.0,1.0,1.0,10.0,DAL
8111,Cade Otton,TB,TE,8.1,12.1,10.1,,,,,,,,,5.0,4.0,81.0,,56.0,SEA
12374,Brenden Bates,CLE,TE,2.3,4.3,3.3,,,,,,,,,2.0,2.0,23.0,,13.0,MIN
11647,Kimani Vidal,LAC,RB,1.9,2.9,2.4,,,,,,4.0,18.0,,1.0,1.0,1.0,,14.0,WAS
9488,Jaxon Smith-Njigba,SEA,WR,19.2,27.2,23.2,,,,,,,,,9.0,8.0,132.0,1.0,55.0,TB
11571,Isaiah Davis,NYJ,RB,3.3,6.3,4.8,,,,,,1.0,5.0,,4.0,3.0,28.0,,33.0,DAL
7526,Jaylen Waddle,MIA,WR,17.0,23.0,20.0,,,,,,,,,9.0,6.0,110.0,1.0,49.0,CAR
2197,Brandin Cooks,NO,WR,0.5,1.5,1.0,,,,,,,,,1.0,1.0,5.0,,30.0,NYG
5870,Daniel Jones,IND,QB,16.7,16.7,16.7,29.0,20.0,212.0,2.0,,1.0,2.0,,,,,,59.0,LV
5844,T.J. Hockenson,MIN,TE,3.8,9.8,6.8,,,,,,,,,6.0,6.0,38.0,,55.0,CLE
12529,TreVeyon Henderson,NE,RB,2.7,4.7,3.7,,,,,,6.0,24.0,,3.0,2.0,3.0,,30.0,BUF
12535,Isaac TeSlaa,DET,WR,7.2,8.2,7.7,,,,,,,,,1.0,1.0,12.0,1.0,21.0,CIN
1373,Geno Smith,LV,QB,7.9,7.9,7.9,36.0,25.0,228.0,,2.0,3.0,8.0,,,,,,68.0,IND
6768,Tua Tagovailoa,MIA,QB,22.7,22.7,22.7,36.0,27.0,256.0,3.0,,1.0,5.0,,,,,,55.0,CAR
6130,Devin Singletary,NYG,RB,2.4,3.4,2.9,,,,,,6.0,20.0,,2.0,1.0,4.0,,23.0,NO
6904,Jalen Hurts,PHI,QB,19.5,19.5,19.5,38.0,23.0,280.0,2.0,,2.0,3.0,,,,,,61.0,DEN
11635,Ladd McConkey,LAC,WR,9.9,14.9,12.4,,,,,,,,,7.0,5.0,39.0,1.0,53.0,WAS
