playerID,playerName,team,position,pts_std,pts_ppr,pts_half_ppr,pass_att,pass_cmp,pass_yd,pass_td,pass_int,rush_att,rush_yd,rush_td,rec_tgt,rec,rec_yd,rec_td,off_snp,opponent
9487,Parker Washington,JAX,WR,9.0,17.0,13.0,,,,,,,,,9.0,8.0,90.0,,70.0,LV
6786,CeeDee Lamb,DAL,WR,8.5,15.5,12.0,,,,,,,,,12.0,7.0,85.0,,59.0,ARI
12493,Oronde Gadsden,LAC,TE,6.8,11.8,9.3,,,,,,,,,5.0,5.0,68.0,,52.0,TEN
7553,Kyle Pitts,ATL,TE,3.8,7.8,5.8,,,,,,,,,7.0,4.0,38.0,,53.0,NE
19,Joe Flacco,CIN,QB,32.7,32.7,32.7,47.0,31.0,470.0,4.0,2.0,1.0,-1.0,,,,,,68.0,CHI
11157,Brycen Tremayne,CAR,WR,0.8,1.8,1.3,,,,,,,,,1.0,1.0,8.0,,15.0,GB
7585,Davis Mills,HOU,QB,6.2,6.2,6.2,30.0,17.0,137.0,,,2.0,7.0,,,,,,50.0,DEN
2359,Ameer Abdullah,IND,RB,0.5,1.5,1.0,,,,,,1.0,3.0,,1.0,1.0,2.0,,5.0,PIT
3294,Dak Prescott,DAL,QB,16.4,16.4,16.4,39.0,24.0,250.0,1.0,1.0,4.0,34.0,,,,,,67.0,ARI
421,Matthew Stafford,LAR,QB,26.8,26.8,26.8,32.0,24.0,281.0,4.0,,4.0,-4.0,,,,,,80.0,NO
8134,Khalil Shakir,BUF,WR,4.3,11.3,7.8,,,,,,,,,8.0,7.0,43.0,,40.0,KC
5995,Justice Hill,BAL,RB,1.5,3.5,2.5,,,,,,1.0,2.0,,2.0,2.0,13.0,,11.0,MIA
12517,Colston Loveland,CHI,TE,23.8,29.8,26.8,,,,,,,,,7.0,6.0,118.0,2.0,65.0,CIN
8138,James Cook,BUF,RB,12.5,13.5,13.0,,,,,,27.0,114.0,,1.0,1.0,11.0,,50.0,KC
7049,Jauan Jennings,SF,WR,10.1,14.1,12.1,,,,,,,,,5.0,4.0,41.0,1.0,52.0,NYG
11610,Malik Washington,MIA,WR,4.1,7.1,5.6,,,,,,3.0,13.0,,3.0,3.0,48.0,,45.0,BAL
4943,Sam Darnold,SEA,QB,28.2,28.2,28.2,24.0,21.0,330.0,4.0,1.0,,,,,,,,48.0,WAS
10228,Charlie Jones,CIN,WR,6.0,6.0,6.0,,,,,,,,,,,,,,CHI
11370,Chris Brooks,GB,RB,2.4,4.4,3.4,,,,,,,,,2.0,2.0,24.0,,11.0,CAR
11647,Kimani Vidal,LAC,RB,3.0,3.0,3.0,,,,,,12.0,30.0,,1.0,,,,47.0,TEN
9488,Jaxon Smith-Njigba,SEA,WR,14.0,22.0,18.0,,,,,,1.0,11.0,,9.0,8.0,129.0,,34.0,WAS
7526,Jaylen Waddle,MIA,WR,8.2,14.2,11.2,,,,,,,,,9.0,6.0,82.0,,51.0,BAL
6820,Clyde Edwards-Helaire,KC,RB,0.5,0.5,0.5,,,,,,2.0,5.0,,,,,,2.0,BUF
2197,Brandin Cooks,NO,WR,1.6,3.6,2.6,,,,,,,,,3.0,2.0,16.0,,23.0,LAR
