playerID,playerName,team,position,pts_std,pts_ppr,pts_half_ppr,pass_att,pass_cmp,pass_yd,pass_td,pass_int,rush_att,rush_yd,rush_td,rec_tgt,rec,rec_yd,rec_td,off_snp,opponent
9487,Parker Washington,JAX,WR,6.2,10.2,8.2,,,,,,3.0,10.0,,10.0,4.0,52.0,,68.0,LAR
6786,CeeDee Lamb,DAL,WR,17.0,22.0,19.5,,,,,,,,,8.0,5.0,110.0,1.0,52.0,WAS
6783,Jerry Jeudy,CLE,WR,1.7,3.7,2.7,,,,,,,,,4.0,2.0,17.0,,39.0,MIA
9504,Kayshon Boutte,NE,WR,11.5,13.5,12.5,,,,,,,,,2.0,2.0,55.0,1.0,46.0,TEN
12493,Oronde Gadsden,LAC,TE,22.4,29.4,25.9,,,,,,,,,9.0,7.0,164.0,1.0,60.0,IND
7553,Kyle Pitts,ATL,TE,6.2,13.2,9.7,,,,,,,,,10.0,7.0,62.0,,53.0,SF
19,Joe Flacco,CIN,QB,26.0,26.0,26.0,47.0,31.0,342.0,3.0,,5.0,3.0,,,,,,76.0,PIT
4054,Mo Alie-Cox,IND,TE,0.6,1.6,1.1,,,,,,,,,2.0,1.0,6.0,,18.0,LAC
3423,Robbie Chosen,WAS,WR,3.6,7.6,5.6,,,,,,,,,4.0,4.0,36.0,,33.0,DAL
2359,Ameer Abdullah,IND,RB,2.7,3.7,3.2,,,,,,2.0,19.0,,1.0,1.0,8.0,,5.0,LAC
3294,Dak Prescott,DAL,QB,23.3,23.3,23.3,30.0,21.0,264.0,3.0,,5.0,7.0,,,,,,67.0,WAS
421,Matthew Stafford,LAR,QB,27.4,27.4,27.4,33.0,21.0,182.0,5.0,,2.0,1.0,,,,,,67.0,JAX
7828,Noah Gray,KC,TE,2.8,3.8,3.3,,,,,,,,,1.0,1.0,28.0,,48.0,LV
12517,Colston Loveland,CHI,TE,2.4,5.4,3.9,,,,,,,,,4.0,3.0,24.0,,46.0,NO
7049,Jauan Jennings,SF,WR,3.1,7.1,5.1,,,,,,,,,7.0,4.0,31.0,,57.0,ATL
8136,Rachaad White,TB,RB,4.4,8.4,6.4,,,,,,10.0,38.0,,6.0,4.0,6.0,,62.0,DET
11610,Malik Washington,MIA,WR,3.0,8.0,5.5,,,,,,,,,8.0,5.0,30.0,,37.0,CLE
4943,Sam Darnold,SEA,QB,9.6,9.6,9.6,31.0,17.0,213.0,1.0,1.0,3.0,1.0,,,,,,72.0,HOU
829,Andy Dalton,CAR,QB,2.2,2.2,2.2,7.0,4.0,60.0,,,2.0,-2.0,,,,,,22.0,NYJ
11574,Dylan Laube,LV,RB,0.4,1.4,0.9,,,,,,2.0,3.0,,1.0,1.0,1.0,,5.0,KC
8111,Cade Otton,TB,TE,6.5,13.5,10.0,,,,,,,,,9.0,7.0,65.0,,67.0,DET
