playerID,fga,fgm,fgm_40_49,fgm_50_59,fgm_50p,fgm_lng,fgm_pct,fgm_yds,fgm_yds_over_30,gms_active,gp,kick_pts,pos_rank_half_ppr,pos_rank_ppr,pos_rank_std,pts_half_ppr,pts_ppr,pts_std,st_snp,tm_def_snp,tm_off_snp,tm_st_snp,xpa,xpm,def_snp,gs,idp_qb_hit,idp_tkl,idp_tkl_ast,idp_tkl_loss,idp_tkl_solo,misc_ret_yd,pts_idp,st_tkl_solo,off_snp,pr,pr_lng,pr_yd,pr_ypa,idp_pass_def,bonus_fd_wr,bonus_rec_wr,bonus_rec_yd_100,bonus_rush_rec_yd_100,rec,rec_10_19,rec_20_29,rec_30_39,rec_air_yd,rec_drop,rec_fd,rec_lng,rec_tgt,rec_yar,rec_yd,rec_ypr,rec_ypt,rush_rec_yd,rush_lng,rec_0_4,rec_td,pass_rush_yd,rush_fd,rush_att,rec_5_9,rush_ypa,rec_rz_tgt,rush_tkl_loss_yd,rush_yac,rec_td_lng,rush_rz_att,anytime_tds,rush_yd,bonus_rec_rb,bonus_fd_rb,rush_tkl_loss,sack,down_4_conv,rush_td_lng,qb_hit,down_4_pct,down_3_pct,pass_air_yd,kr_lng,penalty,down_3_conv,pass_sack_yds,rush_td,opp_rush_fd,pass_ypc,rush_btkl,pass_lng,off_yd_per_play,kr_ypa,opp_fd,pass_rtg,pass_att,ff,g2g_pct,rz_pct,kr,down_4_att,g2g_conv,kr_yd,rz_att,pass_rz_att,opp_off_yd_per_play,down_3_att,pass_sack,penalty_yd,punts,opp_pass_fd,opp_off_yd,pass_cmp,cmp_pct,fum_rec,g2g_att,tkl,pass_ypa,rz_conv,fd,pass_fd,pass_yd,pass_td,off_yd,td,fum,pass_td_lng,pass_int,fgmiss,int,bonus_fd_te,bonus_rec_te,bonus_pass_cmp_25,bonus_fd_qb,pass_inc,idp_sack,idp_sack_yd,idp_ff,def_forced_punts,def_pr_yd,sack_yd,tkl_ast,def_kr_yd,pts_allow,def_pr,fan_pts_allow_k,def_st_tkl_solo,def_pr_ypa,def_kr_ypa,yds_allow_200_299,pts_allow_14_20,def_pr_lng,tkl_solo_misc,yds_allow,fan_pts_allow_def,def_kr,def_kr_lng,def_3_and_out,fan_pts_allow_qb,fan_pts_allow_wr,tkl_loss,def_pass_def,fan_pts_allow_te,tkl_solo,fan_pts_allow,fan_pts_allow_rb,punt_net_yd,punt_tb,punt_yds,yds_allow_350_399,int_ret_yd,rec_40p,bonus_tkl_10p,idp_blk_kick,fum_lost,pass_cmp_40p,punt_in_20,st_ff,fgm_20_29,fgm_30_39,xpmiss,yds_allow_450_499,pts_allow_35p,fgmiss_40_49,idp_pass_def_3p,fg_blkd,bonus_pass_yd_300,pass_2pt,idp_int,idp_int_ret_yd,def_4_and_stop,def_st_fum_rec,pts_allow_28_34,def_st_ff,fum_ret_yd,pts_allow_7_13,bonus_sack_2p,first_td,rush_40p,yds_allow_300_349,blk_kick_ret_yd,blk_kick,fgmiss_20_29,fgmiss_30_39,idp_fum_rec,pts_allow_21_27,pts_allow_1_6,idp_fum_ret_yd,bonus_rush_yd_100,rush_td_40p,bonus_def_int_td_50p,idp_def_td,yds_allow_100_199,bonus_rush_att_20,pass_int_td,st_fum_rec,rec_2pt,pass_td_40p,pass_td_50p,rec_td_40p,rec_td_50p,fgm_60p,yds_allow_400_449,tkl_ast_misc,def_td,fgmiss_50_59,fgmiss_50p
11533,2.0,2.0,1.0,1.0,1.0,53.0,100.0,94.0,34.0,1.0,1.0,8.0,999,999,999,11.0,11.0,11.0,8.0,63.0,61.0,22.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAM_BUF,3.0,3.0,,,,43.0,,100.0,,,1.0,,999,999,999,126.46,142.96,109.96,,,,,,,,,,,,,,,,6.0,,1.0,,,,,,,,,33.0,,,,246.0,2.0,,51.0,45.0,148.0,394.0,11.94,8.76,,17.0,,2.0,,9.0,31.0,,3.48,9.0,-2.0,37.0,15.0,12.0,,108.0,,,1.0,2.0,1.0,2.0,4.0,100.0,46.67,246.0,41.0,5.0,7.0,5.0,3.0,10.0,11.94,1.0,51.0,6.4,27.57,19.0,112.0,46.0,2.0,75.0,71.43,7.0,1.0,3.0,193.0,7.0,9.0,8.6,15.0,1.0,38.0,4.0,8.0,432.0,33.0,71.74,1.0,4.0,44.0,8.57,5.0,29.0,18.0,394.0,2.0,497.0,5.0,1.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAM_LV,3.0,2.0,,,,51.0,,91.0,,,1.0,,999,999,999,89.28,101.28,77.28,,,,,,,,,,,,,,,,3.0,,1.0,13.0,13.0,13.0,,,,,,24.0,,,,222.0,2.0,,38.0,33.0,140.0,362.0,15.08,10.97,,11.0,,1.0,,3.0,24.0,,2.33,1.0,-9.0,21.0,26.0,2.0,,56.0,,,6.0,4.0,1.0,3.0,9.0,100.0,38.46,222.0,34.0,9.0,5.0,29.0,1.0,2.0,15.08,2.0,38.0,6.3,32.0,18.0,102.8,34.0,1.0,100.0,100.0,3.0,1.0,1.0,96.0,1.0,1.0,4.9,13.0,4.0,77.0,5.0,15.0,336.0,24.0,70.59,,1.0,66.0,10.65,1.0,21.0,17.0,362.0,1.0,389.0,2.0,,26.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAM_CAR,1.0,1.0,,,,48.0,,48.0,,,1.0,,999,999,999,49.86,58.86,40.86,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,18.0,,,,94.0,1.0,,27.0,34.0,60.0,154.0,8.56,4.53,,22.0,,1.0,,5.0,25.0,,4.52,1.0,,35.0,27.0,3.0,,113.0,,,,,,,1.0,,53.33,94.0,27.0,4.0,8.0,12.0,,10.0,8.56,,27.0,4.2,21.5,19.0,49.0,35.0,,,,2.0,2.0,,43.0,1.0,1.0,6.0,15.0,1.0,35.0,2.0,9.0,378.0,18.0,51.43,,,56.0,4.4,,15.0,8.0,154.0,1.0,255.0,1.0,1.0,27.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAM_NYJ,2.0,2.0,,,,51.0,,86.0,,,1.0,,999,999,999,88.72,96.72,80.72,,,,,,,,,,,,,,,,3.0,,2.0,19.0,19.0,9.5,,,,,,16.0,,,,142.0,,,33.0,21.0,76.0,218.0,13.63,10.38,,18.0,,1.0,,13.0,39.0,,4.67,,-14.0,91.0,33.0,9.0,,182.0,,,5.0,4.0,1.0,8.0,7.0,50.0,50.0,142.0,40.0,7.0,7.0,6.0,3.0,2.0,13.63,5.0,33.0,6.4,29.43,19.0,119.1,22.0,1.0,100.0,75.0,7.0,2.0,3.0,206.0,4.0,,5.0,14.0,1.0,74.0,2.0,14.0,271.0,16.0,72.73,,3.0,52.0,9.91,3.0,23.0,9.0,218.0,1.0,394.0,4.0,1.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4227,3.0,3.0,,1.0,1.0,59.0,100.0,121.0,34.0,1.0,1.0,9.0,999,999,999,10.0,10.0,10.0,9.0,65.0,61.0,25.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4666,3.0,2.0,1.0,,,41.0,66.67,77.0,17.0,1.0,1.0,8.0,999,999,999,8.0,8.0,8.0,10.0,58.0,76.0,27.0,2.0,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEAM_CIN,1.0,1.0,,,,35.0,,35.0,,,1.0,,999,999,999,49.42,56.42,42.42,,,,,,,,,,,,,,,,5.0,,1.0,23.0,23.0,23.0,,,,,,14.0,,,,64.0,2.0,,20.0,23.0,49.0,113.0,8.07,4.91,,8.0,,1.0,,3.0,23.0,,2.0,4.0,-12.0,25.0,1.0,4.0,,46.0,,,5.0,2.0,,5.0,5.0,,50.0,64.0,29.0,7.0,7.0,18.0,1.0,5.0,8.07,2.0,20.0,2.9,23.33,22.0,87.8,23.0,,100.0,66.67,3.0,,1.0,70.0,3.0,4.0,4.6,14.0,3.0,33.0,6.0,13.0,327.0,14.0,60.87,,1.0,77.0,4.91,2.0,11.0,7.0,113.0,1.0,141.0,2.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12961,1.0,1.0,1.0,,,48.0,100.0,48.0,18.0,1.0,1.0,4.0,999,999,999,5.0,5.0,5.0,4.0,66.0,64.0,22.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10955,3.0,2.0,1.0,1.0,1.0,50.0,66.67,92.0,32.0,1.0,1.0,8.0,999,999,999,10.0,10.0,10.0,10.0,75.0,66.0,27.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
