playerID,playerName,team,position,pts_std,pts_ppr,pts_half_ppr,pass_att,pass_cmp,pass_yd,pass_td,pass_int,rush_att,rush_yd,rush_td,rec_tgt,rec,rec_yd,rec_td,off_snp,opponent
6786,CeeDee Lamb,DAL,WR,7.6,14.6,11.1,,,,,,1.0,2.0,,10.0,7.0,74.0,,53.0,DEN
9504,Kayshon Boutte,NE,WR,13.5,16.5,15.0,,,,,,,,,5.0,3.0,75.0,1.0,50.0,CLE
12493,Oronde Gadsden,LAC,TE,13.7,18.7,16.2,,,,,,,,,5.0,5.0,77.0,1.0,56.0,MIN
7553,Kyle Pitts,ATL,TE,5.9,14.9,10.4,,,,,,,,,9.0,9.0,59.0,,46.0,MIA
19,Joe Flacco,CIN,QB,24.3,24.3,24.3,34.0,21.0,223.0,2.0,,2.0,14.0,1.0,,,,,59.0,NYJ
8698,Jake Tonges,SF,TE,6.2,7.2,6.7,,,,,,,,,1.0,1.0,2.0,1.0,5.0,HOU
2359,Ameer Abdullah,IND,RB,0.8,1.8,1.3,,,,,,2.0,5.0,,1.0,1.0,3.0,,10.0,TEN
3294,Dak Prescott,DAL,QB,8.6,8.6,8.6,31.0,19.0,188.0,,2.0,6.0,31.0,,,,,,65.0,DEN
8134,Khalil Shakir,BUF,WR,14.8,20.8,17.8,,,,,,,,,7.0,6.0,88.0,1.0,30.0,CAR
7828,Noah Gray,KC,TE,2.3,4.3,3.3,,,,,,,,,4.0,2.0,23.0,,38.0,WAS
11557,Joe Milton,DAL,QB,6.3,6.3,6.3,4.0,3.0,58.0,1.0,,,,,,,,,9.0,DEN
5995,Justice Hill,BAL,RB,0.2,0.2,0.2,,,,,,1.0,2.0,,,,,,19.0,CHI
12517,Colston Loveland,CHI,TE,3.8,6.8,5.3,,,,,,,,,5.0,3.0,38.0,,51.0,BAL
8138,James Cook,BUF,RB,33.6,33.6,33.6,,,,,,19.0,216.0,2.0,,,,,28.0,CAR
8119,Jahan Dotson,PHI,WR,10.0,11.0,10.5,,,,,,,,,2.0,1.0,40.0,1.0,42.0,NYG
